airportCode,airportName,lat,lon
AAL,Aalborg,57.09305556,9.85
AAR,Aarhus,56.30388889,10.62
ABZ,Aberdeen,57.20194444,-2.197777778
ACE,Lanzarote,28.94555556,-13.60527778
AES,Alesund,62.56111111,6.114166667
AGH,Helsingborg - Angelholm,56.29305556,12.8625
AGP,Malaga,36.67166667,-4.498055556
AHO,Alghero,40.63055556,8.288888889
AJA,Ajaccio,41.92416667,8.803055556
ALF,Alta,69.97611111,23.38055556
AMS,Amsterdam - Schiphol,52.30833333,4.768055556
AOI,Ancona,43.6175,13.36416667
ARN,Stockholm,59.66194444,17.93388889
ATH,Athens Eleftherios Venizelos,37.89583333,23.72888889
AXD,Alexandroupolis,40.85583333,25.95638889
BCN,Barcelona,41.30277778,2.094444444
BDS,Brindisi,40.65805556,17.94666667
BGO,Bergen,60.29361111,5.219444444
BGY,Milano Orio - Bergamo,45.66833333,9.700277778
BHD,Belfast City,54.61805556,-5.8725
BHX,Birmingham International,52.45388889,-1.746388889
BIA,Bastia,42.54916667,9.486111111
BIO,Bilbao,43.30277778,-2.921666667
BIQ,Biarritz,43.46861111,-1.5225
BLL,Billund,55.74027778,9.152777778
BLQ,Bologna,44.53055556,11.2925
BOD,Bordeaux,44.82944444,-0.714444444
BOJ,Burgas,42.55361111,27.51083333
BOO,Bodo,67.26916667,14.37222222
BRE,Bremen,53.04666667,8.79
BRI,Bari,41.14111111,16.78833333
BRN,Berne - Belp,46.91527778,7.499166667
BRS,Bristol,51.38277778,-2.719166667
BRU,Brussels - Airport,50.90166667,4.494166667
BSL,Basel Euroairport,47.59,7.53
BUD,"Budapest, Liszt Ferenc",47.43694444,19.25555556
BZG,Bydgoszcz,53.09666667,17.97861111
CAG,Cagliari,39.24722222,9.061111111
CDG,Paris - Charles De Gaulle,49.00972222,2.547777778
CFU,Kerkyra,39.60138889,19.91027778
CGN,Cologne - Cologne/Bonn Airport,50.86583333,7.141944444
CHQ,Chania,35.5325,24.14833333
CLJ,Cluj,46.785,23.68611111
CLY,Calvi,42.52777778,8.791666667
CND,Constanta,44.36222222,28.48833333
CPH,Copenhagen,55.61805556,12.65583333
CTA,Catania,37.40277778,14.92305556
CWL,Cardiff,51.39666667,-3.343333333
DBV,Dubrovnik,42.5625,18.26888889
DRS,Dresden,51.13277778,13.76722222
DTM,Dortmund,51.51833333,7.612222222
DUB,Dublin,53.4325,-6.252222222
DUS,Dusseldorf - Nordrhein-Westfalen,51.28111111,6.752777778
EBJ,Esbjerg,55.52638889,8.5525
EDI,Edinburgh,55.95,-3.3725
EFL,Kefallinia,38.11861111,20.49972222
EMA,East Midlands,52.83111111,-1.328055556
EVE,"Harstad-Narvik, Evenes",68.49111111,16.67972222
FAO,Faro,37.01444444,-7.965833333
FCO,Rome - Leonardo Da Vinci,41.80027778,12.23888889
FDH,Friedrichshafen,47.66722222,9.5125
FKB,Karlsruhe,48.77916667,8.080277778
FLR,Florence - Amerigo Vespucci,43.81027778,11.19777778
FMM,Memmingen,47.98888889,10.23944444
FMO,Munster,52.13527778,7.686111111
FNC,Funchal,32.69777778,-16.77444444
FRA,Frankfurt/Main International,50.03194444,8.577777778
FSC,Figari,41.50055556,9.097777778
FUE,Fuerteventura,28.45277778,-13.86388889
GDN,Gdansk,54.3775,18.46611111
GLA,Glasgow,56.06666667,-6.216666667
GOA,Genoa,44.41305556,8.837777778
GOT,Gothenburg - Landvetter,57.66305556,12.28277778
GRZ,Graz - Thalerhof,46.99333333,15.44
GVA,Genève - Geneva-Cointrin Airport,46.23944444,6.110277778
GWT,Westerland/Sylt,54.91527778,8.343055556
HAJ,Hannover,52.46166667,9.684722222
HAM,Hamburg,53.63388889,9.995
HAU,Haugesund,59.34666667,5.209166667
HDB,Heidelberg,49.4,8.683333333
HDF,Heringsdorf/Usedom,53.87888889,14.15166667
HEL,Helsinki - Vantaa,60.32555556,24.97166667
HER,Heraklion,35.34027778,25.18027778
HOV,Orsta-Volda,62.18166667,6.078888889
IAS,Iasi,47.17861111,27.62055556
IBZ,Ibiza,38.87361111,1.372777778
INN,Innsbruck - Kranebitten,47.26083333,11.34722222
IOA,Ioannina,39.69638889,20.8225
JER,Jersey,49.20805556,-2.195555556
JKG,Jonkoping,57.75777778,14.07027778
JKH,Chios,38.345,26.14166667
JMK,Mykonos,37.43611111,25.34444444
JSI,Skiathos,39.18055556,23.50555556
JTR,Thira,36.40638889,25.47722222
KGS,Kos,36.79305556,27.09527778
KKN,Kirkenes,69.72277778,29.89333333
KLR,Kalmar,56.685,16.28722222
KLU,Klagenfurt,46.64305556,14.34166667
KLX,Kalamata,37.06944444,22.02777778
KRK,Krakow,50.07777778,19.78472222
KRN,Kiruna,67.82222222,20.34583333
KRS,Kristiansand - Kjevik,58.20305556,8.084166667
KSC,Kosice,48.66305556,21.24111111
KSD,Karlstad,59.36166667,13.46944444
KSU,Kristiansund - Kvernberget,63.11472222,7.844444444
KTT,Kittila,67.70111111,24.84694444
KTW,Katowice,50.47416667,19.08
KUO,Kuopio,63.00722222,27.79777778
KVA,Kavala,40.97277778,24.34194444
LCA,Larnaca,34.87777778,33.63055556
LCJ,Lodz Lublinek Airport,51.72194444,19.39805556
LCY,London City Airport,51.50527778,0.055277778
LDE,Lourdes/Tarbes,43.18555556,-0.002777778
LEJ,Leipzig/Halle,51.42388889,12.23638889
LGG,Liege - Bierset,50.63722222,5.443888889
LHR,London Heathrow,51.4775,-0.461388889
LIN,Milan Linate,45.44166667,9.277777778
LIS,Lisbon – Aeroporto de Lisboa,38.78138889,-9.135833333
LJU,Ljubljana,46.22361111,14.4575
LLA,Lulea,65.54472222,22.12777778
LMP,Lampedusa,35.49611111,12.615
LNZ,Linz - Blue Danube,48.23444444,14.19361111
LPA,Las Palmas - Aeropuerto de Gran Canaria,27.93194444,-15.38666667
LPI,Linkoping,58.40611111,15.68055556
LUG,Lugano,46.00416667,8.910555556
LUX,Luxemburg,49.62777778,6.206666667
LUZ,Lublin,51.85,22.56666667
LYR,Longyearbyen - Svalbard,78.24527778,15.46944444
LYS,Lyon Saint Exupéry,45.72555556,5.081666667
MAD,Madrid Barajas,40.47361111,-3.561111111
MAH,Menorca - Mahon,39.86138889,4.215277778
MAN,Manchester,53.35333333,-2.276666667
MJT,Mytilene,39.05611111,26.59944444
MLA,Malta,35.8575,14.4775
MLH,Mulhouse Euroairport,47.59,7.53
MMX,Malmo - Sturup,55.54833333,13.35944444
MOL,Molde,62.74861111,7.271111111
MPL,Montpellier,43.58055556,3.970277778
MRS,Marseille-Provence,43.43555556,5.216388889
MUC,Munich,48.1325,11.69916667
MXP,Milan Malpensa,45.63277778,8.732222222
NAP,Naples - Capodichino,40.88611111,14.29166667
NCE,Nice,43.66388889,7.2175
NCL,Newcastle International,55.03777778,-1.686666667
NOC,Knock - Ireland West,53.91,-8.817777778
NQY,Newquay,50.43944444,-4.994722222
NUE,Nuremberg,49.49972222,11.08166667
OLB,Olbia,40.89722222,9.522222222
OPO,Porto,41.23805556,-8.674722222
OSD,Ostersund,63.19861111,14.49444444
OSL,Oslo,60.20277778,11.08555556
OTP,Bucharest – Henri Coanda,44.57222222,26.10222222
OUL,Oulu,64.92916667,25.35833333
PAD,Paderborn,51.61166667,8.615277778
PEG,Perugia,43.09694444,12.51138889
PMI,Palma de Mallorca,39.55361111,2.727777778
PMO,Palermo,38.18111111,13.105
PNL,Pantelleria,36.81361111,11.96611111
POZ,Poznan,52.42111111,16.82638889
PRG,"Prague, Václav Havel Airport",50.10083333,14.26
PSA,Pisa,43.68055556,10.39277778
PUY,Pula,44.89138889,13.9225
QDU,Dusseldorf - Train Station,51.31666667,6.833333333
REG,Reggio Calabria - Tito Menniti,38.07527778,15.65083333
RHO,Rhodes Diagoras Airport,36.38472222,28.11833333
RIX,Riga,56.92361111,23.97111111
RJK,Rijeka,45.21694444,14.57027778
RLG,Rostock-Laage,53.91805556,12.27833333
RNB,Ronneby,56.25833333,15.26111111
RTM,Rotterdam,51.95833333,4.444444444
RZE,Rzeszow,50.11,22.01888889
SBZ,Sibiu International,45.78555556,24.09138889
SCN,Saarbruecken - Ensheim,49.21444444,7.109444444
SCQ,Santiago de Compostela,42.895,-8.415
SDL,Sundsvall,62.52638889,17.44666667
SFT,Skelleftea,64.625,21.07833333
SKG,Thessaloniki,40.52083333,22.97222222
SMI,Samos,37.68888889,26.91388889
SNN,Shannon,52.70055556,-8.918611111
SOF,Sofia,42.69527778,23.40611111
SPC,Santa Cruz de la Palma - La Palma,28.6225,-17.75361111
SPU,Split,43.53833333,16.29888889
STN,London-Stansted,51.88277778,0.233888889
STR,Stuttgart - Echterdingen,48.68833333,9.21
SUF,Lamezia Terme,38.90916667,16.23888889
SVG,Stavanger,58.87972222,5.634722222
SVQ,Seville,37.415,-5.8975
SXB,Strasbourg,48.53694444,7.6275
SXF,Berlin - Schoenefeld,52.38,13.5225
SZG,Salzburg - W.A. Mozart,47.79333333,13.00444444
SZZ,Szczecin,53.58472222,14.90222222
TFS,Tenerife Sur,28.04277778,-16.57055556
TKU,Turku,60.51472222,22.26555556
TLL,Tallinn,59.41333333,24.83277778
TLS,Toulouse - Blagnac,43.63,1.363611111
TMP,Tampere,61.46388889,23.73888889
TOS,Tromso,69.68138889,18.92166667
TRD,Trondheim,63.45972222,10.93694444
TRN,Turin,45.20111111,7.648055556
TRS,Triest,45.82666667,13.47222222
TSR,Timisoara – Traian Vuia International Airport,45.8275,13.47222222
TXL,Berlin - Tegel,52.56027778,13.29555556
UME,Umea,63.79333333,20.28444444
VAA,Vaasa,44.92,4.970277778
VAR,Varna,43.23222222,27.82555556
VCE,Venice - Marco Polo,45.50666667,12.35
VGO,Vigo,42.22638889,-8.627777778
VIE,Vienna International,48.11083333,16.55805556
VLC,Valencia,39.48861111,-0.481944444
VNO,Vilnius,54.63333333,25.28333333
VOL,Volos,39,22
VRN,Verona,45.46666667,10.93333333
WAW,Warsaw,52.16666667,20.96666667
WRO,Wroclaw,51.1,16.88333333
XER,Strasbourg Bus Station,48.54055556,7.632222222
XRY,Jerez De La Frontera - La Parra,36.74527778,-6.058888889
ZAD,Zadar,44.10833333,15.34666667
ZAG,Zagreb,45.74305556,16.06888889
ZRH,Zurich,47.45833333,8.551666667
ZTH,Zakynthos,37.75111111,20.88277778
