name,count,lat,lon
Frankfurt/Main International,85,50.03194444,8.577777778
Munich,82,48.1325,11.69916667
Vienna International,47,48.11083333,16.55805556
Zurich,46,47.45833333,8.551666667
Brussels - Airport,41,50.90166667,4.494166667
Dusseldorf - Nordrhein-Westfalen,31,51.28111111,6.752777778
Hamburg,28,53.63388889,9.995
Stockholm,22,59.66194444,17.93388889
Stuttgart - Echterdingen,22,48.68833333,9.21
Cologne - Cologne/Bonn Airport,21,50.86583333,7.141944444
Berlin - Schoenefeld,21,52.38,13.5225
Athens Eleftherios Venizelos,20,37.89583333,23.72888889
Oslo,18,60.20277778,11.08555556
Genève - Geneva-Cointrin Airport,18,46.23944444,6.110277778
Madrid Barajas,17,40.47361111,-3.561111111
Tenerife Sur,16,28.04277778,-16.57055556
Berlin - Tegel,16,52.56027778,13.29555556
Fuerteventura,16,28.45277778,-13.86388889
London Heathrow,15,51.4775,-0.461388889
Lanzarote,14,28.94555556,-13.60527778
Barcelona,14,41.30277778,2.094444444
Amsterdam - Schiphol,11,52.30833333,4.768055556
Las Palmas - Aeropuerto de Gran Canaria,11,27.93194444,-15.38666667
Lisbon – Aeroporto de Lisboa,11,38.78138889,-9.135833333
Copenhagen,11,55.61805556,12.65583333
London-Stansted,11,51.88277778,0.233888889
Manchester,11,53.35333333,-2.276666667
Palma de Mallorca,10,39.55361111,2.727777778
Bergen,9,60.29361111,5.219444444
Helsinki - Vantaa,9,60.32555556,24.97166667
Milan Malpensa,9,45.63277778,8.732222222
Valencia,9,39.48861111,-0.481944444
Glasgow,8,55.8691,-4.4351
Nuremberg,8,49.49972222,11.08166667
Hannover,8,52.46166667,9.684722222
Tromso,8,69.68138889,18.92166667
Trondheim,8,63.45972222,10.93694444
Leipzig/Halle,8,51.42388889,12.23638889
Bilbao,7,43.30277778,-2.921666667
"Budapest, Liszt Ferenc",7,47.43694444,19.25555556
Malaga,7,36.67166667,-4.498055556
"Prague, Václav Havel Airport",7,50.10083333,14.26
Paris - Charles De Gaulle,7,49.00972222,2.547777778
Salzburg - W.A. Mozart,7,47.79333333,13.00444444
Thessaloniki,7,40.52083333,22.97222222
Birmingham International,6,52.45388889,-1.746388889
Warsaw,6,52.16666667,20.96666667
London City Airport,6,51.50527778,0.055277778
Venice - Marco Polo,6,45.50666667,12.35
Rome - Leonardo Da Vinci,6,41.80027778,12.23888889
East Midlands,6,52.83111111,-1.328055556
Dresden,5,51.13277778,13.76722222
Santa Cruz de la Palma - La Palma,5,28.6225,-17.75361111
Cardiff,5,51.39666667,-3.343333333
Ibiza,5,38.87361111,1.372777778
Liege - Bierset,5,50.63722222,5.443888889
Lyon Saint Exupéry,5,45.72555556,5.081666667
Newcastle International,5,55.03777778,-1.686666667
Berne - Belp,5,46.91527778,7.499166667
Stavanger,5,58.87972222,5.634722222
Basel Euroairport,5,47.59,7.53
Graz - Thalerhof,5,46.99333333,15.44
Nice,5,43.66388889,7.2175
Zagreb,5,45.74305556,16.06888889
Belfast City,5,54.61805556,-5.8725
Luxemburg,5,49.62777778,6.206666667
Porto,5,41.23805556,-8.674722222
Bodo,4,67.26916667,14.37222222
Bucharest – Henri Coanda,4,44.57222222,26.10222222
Edinburgh,4,55.95,-3.3725
Bristol,4,51.38277778,-2.719166667
Innsbruck - Kranebitten,4,47.26083333,11.34722222
Bremen,4,53.04666667,8.79
Seville,4,37.415,-5.8975
Gothenburg - Landvetter,4,57.66305556,12.28277778
Kristiansund - Kvernberget,4,63.11472222,7.844444444
Malta,4,35.8575,14.4775
Marseille-Provence,4,43.43555556,5.216388889
Krakow,3,50.07777778,19.78472222
Alesund,3,62.56111111,6.114166667
Naples - Capodichino,3,40.88611111,14.29166667
Rhodes Diagoras Airport,3,36.38472222,28.11833333
Sofia,3,42.69527778,23.40611111
Bologna,3,44.53055556,11.2925
"Harstad-Narvik, Evenes",3,68.49111111,16.67972222
Toulouse - Blagnac,3,43.63,1.363611111
Dublin,3,53.4325,-6.252222222
Florence - Amerigo Vespucci,3,43.81027778,11.19777778
Menorca - Mahon,3,39.86138889,4.215277778
Billund,3,55.74027778,9.152777778
Kristiansand - Kjevik,3,58.20305556,8.084166667
Malmo - Sturup,3,55.54833333,13.35944444
Split,3,43.53833333,16.29888889
Aberdeen,2,57.20194444,-2.197777778
Alta,2,69.97611111,23.38055556
Karlstad,2,59.36166667,13.46944444
Kirkenes,2,69.72277778,29.89333333
Wroclaw,2,51.1,16.88333333
Linz - Blue Danube,2,48.23444444,14.19361111
Molde,2,62.74861111,7.271111111
Mytilene,2,39.05611111,26.59944444
Shannon,2,52.70055556,-8.918611111
Dortmund,2,51.51833333,7.612222222
Klagenfurt,2,46.64305556,14.34166667
Larnaca,2,34.87777778,33.63055556
Rotterdam,2,51.95833333,4.444444444
Chios,2,38.345,26.14166667
Oulu,2,64.92916667,25.35833333
Palermo,2,38.18111111,13.105
Faro,2,37.01444444,-7.965833333
Munster,2,52.13527778,7.686111111
Turku,2,60.51472222,22.26555556
Vilnius,2,54.63333333,25.28333333
Vaasa,2,44.92,4.970277778
Verona,2,45.46666667,10.93333333
Bordeaux,2,44.82944444,-0.714444444
Dusseldorf - Train Station,2,51.31666667,6.833333333
Gdansk,2,54.3775,18.46611111
Jonkoping,2,57.75777778,14.07027778
Karlsruhe,2,48.77916667,8.080277778
Kos,2,36.79305556,27.09527778
Kosice,2,48.66305556,21.24111111
Ljubljana,2,46.22361111,14.4575
Orsta-Volda,2,62.18166667,6.078888889
Poznan,2,52.42111111,16.82638889
Tallinn,2,59.41333333,24.83277778
