airport_code,airport_name,city_code,country_code,latitude,longitude
AAL,Aalborg,AAL,DK,57.09305556,9.85
AAR,Aarhus,AAR,DK,56.30388889,10.62
ABE,Allentown/Bethl,ABE,US,40.65472222,-75.43833333
ABJ,Abidjan,ABJ,CI,5.261388889,-3.926388889
ABK,Kabri Dehar,ABK,ET,6.733888889,44.26611111
ABQ,"Albuquerque International, NM",ABQ,US,35.04166667,-106.6063889
ABV,Abuja International,ABV,NG,9.006666667,7.263055556
ABZ,Aberdeen,ABZ,GB,57.20194444,-2.197777778
ACA,Acapulco - Alvarez International,ACA,MX,16.75555556,-99.76694444
ACC,Accra - Kotoka International,ACC,GH,5.605277778,-0.166666667
ACE,Lanzarote,ACE,ES,28.94555556,-13.60527778
ACK,Nantucket,ACK,US,41.25666667,-70.05972222
ACT,Waco Municipal,ACT,US,31.61138889,-97.22861111
ACV,Arcata/Eureka,ACV,US,40.97916667,-124.1075
ACY,Atlantic City - International,AIY,US,39.45666667,-74.57777778
ADA,Adana,ADA,TR,36.98361111,35.28083333
ADB,Izmir - Adnan Menderes,IZM,TR,38.29472222,27.16
ADD,Addis Ababa,ADD,ET,8.977777778,38.79805556
ADK,Adak Island,ADK,US,51.88277778,-176.6447222
ADL,Adelaide,ADL,AU,-34.94833333,138.5347222
ADQ,Kodiak - Kodiak Airport,ADQ,US,57.75416667,-152.4833333
ADZ,San Andres Island,ADZ,CO,12.58305556,-81.71166667
AEP,Buenos Aires - Jorge Newbery,BUE,AR,-34.55888889,-58.41583333
AER,Sochi,AER,RU,43.45,39.95666667
AES,Alesund,AES,NO,62.56111111,6.114166667
AEX,Alexandria Louisiana,AEX,US,31.32416667,-92.54694444
AGA,Agadir,AGA,MA,30.325,-9.413055556
AGH,Helsingborg - Angelholm,AGH,SE,56.29305556,12.8625
AGP,Malaga,AGP,ES,36.67166667,-4.498055556
AGS,"Augusta, Georgia",AUG,US,33.36916667,-81.96444444
AGT,Ciudad del Este - Alejo Garcia,AGT,PY,-25.45555556,-54.84361111
AGU,Aguascalientes,AGU,MX,21.84833333,-102.2883333
AHB,Abha,AHB,SA,18.23861111,42.655
AHO,Alghero,AHO,IT,40.63055556,8.288888889
AIA,Alliance,AIA,US,42.05166667,-102.8066667
AJA,Ajaccio,AJA,FR,41.92416667,8.803055556
AJL,Aizawl,AJL,IN,23.74666667,92.80277778
AJU,Aracaju,AJU,BR,-10.98388889,-37.07027778
