cityCode,countryCode,name,lat,lon
AAA,PF,Anaa,-16.645,-144.4916667
AAB,AU,Arrabury,,
AAC,EG,Al Arish,31.07333333,33.83583333
AAE,DZ,Annaba,36.82222222,7.809444444
AAF,US,Apalachicola,29.7275,-84.97277778
AAH,DE,Aachen/Maastricht,,
AAI,BR,Arraias,,
AAJ,SR,Awaradam,,
AAK,KI,Aranuka,,
AAL,DK,Aalborg,57.092778,9.849167
AAM,ZA,Mala Mala,,
AAN,AE,Al Ain,24.26166667,55.60916667
AAO,VE,Anaco,37.7475,-96.77888889
AAQ,RU,Anapa,45.00166667,37.34833333
AAR,DK,Aarhus,56.304167,10.619167
AAS,ID,Apalapsili,37.35805556,-84.69083333
AAT,CN,Altay,58.42833333,12.71111111
AAU,WS,Asau,,
AAV,PH,Alah,,
AAX,BR,Araxa,-18.43944444,-45.03444444
AAY,YE,Al Ghaydah,16.19333333,52.17416667
ABA,RU,Abakan,53.74166667,91.385
ABD,IR,Abadan,30.37111111,48.22833333
ABE,US,Allentown/Bethl,40.65222222,-74.55972222
ABF,KI,Abaiang,,
ABG,AU,Abingdon,,
ABH,AU,Alpha,-22.35333333,146.5833333
ABI,US,Abilene,32.41111111,-98.31833333
ABJ,CI,Abidjan,5.261386,-3.926294
ABK,ET,Kabri Dar,6.730555556,44.22861111
ABL,US,Ambler,,
ABM,AU,Bamaga,-9.049166667,142.4594444
ABN,SR,Albina,,
ABO,CI,Aboisso,,
ABP,PG,Atkamba,,
ABQ,US,Albuquerque,35.049492,-106.625122
ABR,US,Aberdeen,45.44888889,-97.57833333
ABS,EG,Abu Simbel,22.37583333,31.61166667
ABT,SA,Al-Baha,20.29583333,41.63388889
ABU,ID,Atambua,,
ABV,NG,Abuja,9.006667,7.263056
ABW,PG,Abau,,
ABX,AU,Albury,-35.93222222,146.9580556
ABY,US,Albany,31.53527778,-83.80555556
ABZ,GB,Aberdeen,57.201944,-2.197778
ACA,MX,Acapulco,16.75694444,-98.24638889
ACB,US,Bellaire,44.98833333,-84.80166667
ACC,GH,Accra,5.605186,-0.166786
ACD,CO,Acandi,,
ACE,ES,Lanzarote,28.94527778,-12.395
ACH,CH,Altenrhein,47.485,9.561944444
ACI,GB,Alderney,,
ACK,US,Nantucket,41.25305556,-69.93972222
ACL,CO,Aguaclara,,
ACM,CO,Arica,,
ACN,MX,Ciudad Acuna,29.335,-100.8966667
ACO,CH,Ascona,,
ACR,CO,Araracuara,-0.599444444,-71.60194444
ACS,RU,Achinsk,,
ACT,US,Waco,31.61111111,-96.76972222
ACU,PA,Achutupo,,
ACV,US,Arcata/Eureka,40.97805556,-123.8913889
ADA,TR,Adana,36.98194444,35.28027778
ADD,ET,Addis Ababa,8.977889,38.799319
ADE,YE,Aden,12.82888889,45.02972222
ADF,TR,Adiyaman,37.763889,38.277778
ADG,US,Adrian,41.8675,-83.92277778
ADH,RU,Aldan,34.80416667,-95.32888889
ADI,NA,Arandis,-21.53333333,14.98333333
ADK,US,Adak Island,51.87777778,-175.3541667
ADL,AU,Adelaide,-34.945,138.530556
ADM,US,Ardmore,34.30416667,-96.97944444
ADN,CO,Andes,,
ADO,AU,Andamooka,,
ADP,LK,Anuradhapura,8.3,80.47861111
ADQ,US,Kodiak,57.74972222,-151.5063889
ADR,US,Andrews,,
ADT,US,Ada,39.83972222,-100.9577778
ADU,IR,Ardabil,38.32666667,48.42416667
ADV,GB,Andover,,
ADW,US,Camp Springs,38.81083333,-75.13305556
ADY,ZA,Alldays,,
ADZ,CO,San Andres Island,12.58361111,-80.28888889
AEA,KI,Abemama Atoll,,
AEG,ID,Aek Godang,35.145,-105.205
AEH,TD,Abecher,13.84694444,20.84861111
AEK,PG,Aseki,,
AEL,US,Albert Lea,43.68138889,-92.63277778
AEO,MR,Aioun El Atrouss,16.71666667,-8.366666667
AER,RU,Sochi,43.445,39.94833333
AES,NO,Alesund,62.5625,6.119722222
AET,US,Allakaket,,
AEX,US,Alexandria Louisiana,,
AEY,IS,Akureyri,65.65861111,-17.92777778
AFA,AR,San Rafael,-33.41138889,-67.59722222
AFD,ZA,Port Alfred,,
AFI,CO,Amalfi,,
AFL,BR,Alta Floresta,-8.133611111,-55.895
AFN,US,Jaffrey,42.805,-71.99722222
AFO,US,Afton,42.70861111,-109.0580556
AFR,PG,Afore,,
AFT,SB,Afutara,,
AFY,TR,Afyon,38.73388889,30.59527778
AGA,MA,Agadir,30.325,-8.586944444
AGD,ID,Anggi,,
AGE,DE,Wangerooge,,
AGF,FR,Agen,44.17472222,0.590555556
AGG,PG,Angoram,,
AGH,SE,Helsingborg,56.29111111,12.855
AGI,SR,Wageningen,,
AGJ,JP,Aguni,26.59277778,127.2402778
AGK,PG,Kagua,,
AGL,PG,Wanigela,,
AGM,GL,Angmagssalik,,
AGN,US,Angoon,,
AGO,US,Magnolia,33.22722222,-92.78305556
AGP,ES,Malaga,36.6749,-4.499106
AGQ,GR,Agrinion,38.60277778,21.35
AGR,IN,Agra,27.15,77.96666667
AGS,US,Augusta,33.46638889,-81.96083333
AGT,PY,Ciudad del Este,-24.54444444,-53.15638889
AGU,MX,Aguascalientes,21.70527778,-101.6822222
AGV,VE,Acarigua,9.553333333,-68.76277778
AGW,AU,Agnew,,
AGX,IN,Agatti Island,,
AGY,AU,Argyle Downs,-15.36305556,128.4513889
AGZ,ZA,Aggeneys,-28.72083333,18.8175
AHB,SA,Abha,18.24027778,42.65638889
AHC,US,Herlong,40.26583333,-119.8494444
AHH,US,Amery,45.28111111,-91.62472222
AHI,ID,Amahai,,
AHL,GY,Aishalton,,
AHN,US,Athens,33.94833333,-82.67388889
AHO,IT,Alghero,40.63111111,8.288611111
AHS,HN,Ahuas,,
AHT,US,Amchitka,,
AHU,MA,Al Hoceima,35.17972222,-2.16
AHY,MG,Ambatolahy,,
AHZ,FR,Alpe D'Huez,,
AIA,US,Alliance,42.05305556,-101.1963889
AIB,US,Anita Bay,46.40638889,4.020833333
AIC,MH,Airok,,
AID,US,Anderson,40.10861111,-84.38722222
AIE,PG,Aiome,,
AIF,BR,Assis,-21.36,-49.54694444
AIG,CF,Yalinga,45.15388889,-88.88944444
AII,DJ,Alisabieh,,
AIK,US,Aiken,33.64916667,-80.315
AIL,PA,Ailigandi,,
AIM,MH,Ailuk Island,,
AIN,US,Wainwright,,
AIO,US,Atlantic,,
AIP,MH,Ailinglapalap Island,,
AIR,BR,Aripuana,,
AIS,KI,Arorae Island,,
AIT,CK,Aitutaki,-17.16833333,-158.2333333
AIU,CK,Atiu Island,-18.03333333,-157.875
AIV,US,Aliceville,33.10638889,-87.80222222
AIY,US,Atlantic City,39.4575,-73.42305556
AIZ,US,Kaiser/Lake Ozark,38.09583333,-91.45055556
AJA,FR,Ajaccio,41.92388889,8.8025
AJF,SA,Al-Jouf,,
AJI,TR,Agri,,
AJJ,MR,Akjoujt,19.73333333,-13.61666667
AJL,IN,Aizawl,23.74583333,92.80277778
AJN,KM,Anjouan,-11.86916667,44.42944444
AJO,YE,Aljouf,29.785,40.09944444
AJR,SE,Arvidsjaur,65.59027778,19.28194444
AJS,MX,Abreojos,,
AJU,BR,Aracaju,-9.014722222,-36.92666667
AJY,NE,Agades,16.96222222,7.990277778
AKA,CN,Ankang,52.22055556,-173.7938889
AKB,US,Atka,,
AKD,IN,Akola,20.69833333,77.0575
AKE,GA,Akieni,,
AKF,LY,Kufrah,24.17694444,23.31527778
AKG,PG,Anguganak,,
AKI,US,Akiak,60.90277778,-160.7694444
AKJ,JP,Asahikawa,43.67083333,142.4475
AKK,US,Akhiok,56.93861111,-153.8175
AKL,NZ,Auckland,-37.008056,174.791667
AKM,TD,Zakouma,,
AKN,US,King Salmon,58.67638889,-155.3513889
AKO,US,Akron,40.17555556,-102.7780556
AKP,US,Anaktuvuk Pass,68.13333333,-150.2566667
AKQ,ID,Astraksetra,,
AKR,NG,Akure,7.25,5.304166667
AKS,SB,Auki,,
AKT,CY,Akrotiri,34.59027778,32.98777778
AKU,CN,Aksu,,
AKV,CA,Akulivik,36.77305556,-97.33027778
AKX,KZ,Aktobe,50.24583333,57.20666667
AKY,MM,Sittwe,20.1325,92.8725
ALA,KZ,Almaty,43.352072,77.040508
ALB,US,Albany,42.74888889,-72.19805556
ALC,ES,Alicante,38.28222222,-0.541944444
ALD,PE,Alerta,-10.31666667,-68.66666667
ALE,US,Alpine,,
ALF,NO,Alta,69.97611111,23.37166667
ALG,DZ,Algiers,36.691014,3.215408
ALH,AU,Albany,-33.05666667,117.8088889
ALI,US,Alice,27.74083333,-97.97305556
ALJ,NA,Alexander Bay,-27.42694444,16.53416667
ALK,ET,Asela,,
ALL,IT,Albenga,44.04583333,8.125555556
ALM,US,Alamogordo,32.83972222,-104.0094444
ALN,US,Alton,38.88972222,-89.95416667
ALO,US,Waterloo,42.55694444,-91.59972222
ALP,SY,Aleppo,36.17972222,37.22611111
ALQ,BR,Alegrete,,
ALR,NZ,Alexandra,,
ALS,US,Alamosa,37.43472222,-104.1336111
ALT,BR,Alenquer,,
ALU,SO,Alula,,
ALW,US,Walla Walla,,
ALX,US,Alexander City,32.91472222,-84.03722222
ALY,EG,Alexandria,30.91805556,29.69555556
ALZ,US,Alitak,,
AMA,US,Amarillo,35.16972222,-100.1741667
AMB,MG,Ambilobe,-12.81666667,48.98333333
AMC,TD,Am Timan,11.03333333,20.28333333
AMD,IN,Ahmedabad,23.07111111,72.62638889
AME,MZ,Alto Molocue,,
AMF,PG,Ama,,
AMG,PG,Amboin,31.53583333,-81.49361111
AMH,ET,Arba Mintch,6.028611111,37.58388889
AMI,ID,Mataram,-7.438055556,116.0994444
AMJ,BR,Almenara,-15.81611111,-39.33277778
AML,PA,Puerto Armuellas,,
AMM,JO,Amman,31.7225,35.993333
AMN,US,Alma,43.32194444,-83.31222222
AMO,TD,Mao,,
AMP,MG,Ampanihy,,
AMQ,ID,Ambon,-2.293055556,128.0894444
AMR,MH,Arno,,
AMS,NL,Amsterdam,52.308614,4.763889
AMT,AU,Amata,,
AMU,PG,Amanab,,
AMV,RU,Amderma,,
AMW,US,Ames,41.99194444,-92.37833333
AMX,AU,Ammaroo,,
AMY,MG,Ambatomainty,,
AMZ,NZ,Ardmore,-36.97027778,174.9733333
ANA,US,Anaheim,,
ANB,US,Anniston,33.58805556,-84.14194444
ANC,US,Anchorage,61.17416667,-148.0038889
AND,US,Anderson,34.49444444,-81.29083333
ANE,FR,Angers,47.56027778,-0.287777778
ANF,CL,Antofagasta,-22.55555556,-69.555
ANG,FR,Angouleme,45.72944444,0.218888889
ANH,SB,Anuha Island,,
ANI,US,Aniak,61.58138889,-158.4572222
ANJ,CG,Zanaga,-1.15,13.81666667
ANK,TR,Ankara,39.9575,32.67472222
ANL,AO,Andulo,,
ANM,MG,Antalaha,,
ANN,US,Annette Island,,
ANO,MZ,Angoche,,
ANP,US,Annapolis,,
ANQ,US,Angola,41.63944444,-84.91666667
ANR,BE,Antwerp,51.18944444,4.460277778
ANS,PE,Andahuaylas,-12.29138889,-72.63527778
ANT,AT,Saint Anton,,
ANU,AG,Antigua,17.13666667,-60.2075
ANV,US,Anvik,62.64722222,-159.81
ANW,US,Ainsworth,42.57916667,-98.00722222
ANX,NO,Andenes,69.2925,16.14416667
ANY,US,Anthony,,
ANZ,AU,Angus Downs,,
AOA,PG,Aroa,,
AOB,PG,Annanberg,,
AOC,DE,Altenburg,50.98166667,12.50611111
AOD,TD,Abou Deia,,
AOG,CN,Anshan,,
AOH,US,Lima,40.70722222,-83.97305556
AOI,IT,Ancona,43.616111,13.362222
AOJ,JP,Aomori,,
AOK,GR,Karpathos,35.42111111,27.14583333
AOL,AR,Paso de los Libres,-28.31194444,-56.84777778
AON,PG,Arona,,
AOO,US,Altoona,40.29611111,-77.68
AOR,MY,Alor Setar,6.194444444,100.4008333
AOS,US,Amook,,
AOU,LA,Attopeu,14.8,106.8166667
APB,BO,Apolo,-13.26444444,-67.58805556
APC,US,Napa,38.21305556,-121.7194444
APE,PE,San Juan Aposento,,
APF,US,Naples,26.15222222,-80.22444444
APH,US,Bowling Green,,
API,CO,Apiay,,
APK,PF,Apataki,-14.42638889,-145.585
APL,MZ,Nampula,-14.9,39.28333333
APN,US,Alpena,45.07805556,-82.43972222
APO,CO,Apartado,,
APP,PG,Asapa,,
APQ,BR,Arapiraca,,
APR,PG,April River,,
APS,BR,Anapolis,-15.6375,-47.07194444
APT,US,Jasper,,
APU,BR,Apucarana,-22.38777778,-50.615
APV,US,Apple Valley,34.57527778,-116.8138889
APW,WS,Apia,-12.17055556,-170.0030556
APX,BR,Arapongas,,
APY,BR,Alto Parnaiba,-8.916388889,-44.04944444
APZ,AR,Zapala,,
AQA,BR,Araraquara,-20.19555556,-47.85972222
AQG,CN,Anqing,,
AQI,SA,Qaisumah,28.335,46.12472222
AQJ,JO,Aqaba,29.61138889,35.01805556
AQM,BR,Ariquemes,,
AQP,PE,Arequipa,,
AQS,FJ,Saqani,,
AQY,US,Alyeska,,
ARB,US,Ann Arbor,,
ARC,US,Arctic Village,,
ARD,ID,Alor Island,,
ARE,PR,Arecibo,,
ARF,CO,Acaricuara,,
ARG,US,Walnut Ridge,36.12444444,-89.075
ARH,RU,Arkhangelsk,64.6,40.71833333
ARI,CL,Arica,-17.65138889,-69.66138889
ARJ,ID,Arso,,
ARK,TZ,Arusha,-2.632222222,36.62027778
ARL,BF,Arly,11.58333333,1.483333333
ARM,AU,Armidale,-29.47166667,151.6166667
ARO,CO,Arboletas,,
ARP,PG,Aragip,,
ARQ,CO,Arauquita,,
ARR,AR,Alto Rio Senguerr,-44.98333333,-69.2
ARS,BR,Aragarcas,-14.10055556,-51.75916667
ART,US,Watertown,43.99166667,-75.97833333
ARU,BR,Aracatuba,-20.85583333,-49.57361111
ARV,US,Minocqua,45.92777778,-88.26916667
ARW,RO,Arad,46.17638889,21.26194444
ARX,US,Asbury Park,,
ARY,AU,Ararat,-36.69055556,142.9886111
ARZ,AO,N'Zeto,-6.783333333,12.86666667
ASA,ER,Assab,13.06666667,42.63333333
ASB,TM,Ashgabat,37.986944,58.360833
ASC,BO,Ascension,,
ASD,BS,Andros Town,24.70027778,-76.20055556
ASE,US,Aspen,39.22305556,-105.1313889
ASF,RU,Astrakhan,46.28333333,48.005
ASG,NZ,Ashburton,-42.09666667,171.7966667
ASH,US,Nashua,42.78166667,-70.48527778
ASI,SH,Georgetown,-6.030555556,-13.60638889
ASJ,JP,Amami O-Shima,28.43083333,129.7125
ASK,CI,Yamoussoukro,6.905833333,-4.636111111
ASL,US,Marshall,,
ASM,ER,Asmara,15.291853,38.910667
ASN,US,Talladega,33.56944444,-85.94888889
ASO,ET,Asosa,,
ASP,AU,Alice Springs,-22.19166667,133.9008333
ASQ,US,Austin,,
ASR,TR,Kayseri,38.77027778,35.49527778
AST,US,Astoria,46.15777778,-122.1213889
ASU,PY,Asuncion,-24.75916667,-56.48333333
ASV,KE,Amboseli,,
ASW,EG,Aswan,23.96416667,32.81972222
ASX,US,Ashland,46.54833333,-89.08111111
ASY,US,Ashley,46.02361111,-98.6475
ASZ,PG,Asirim,,
ATA,PE,Anta,-8.6525,-76.40166667
ATB,SD,Atbara,17.70944444,34.05722222
ATC,BS,Arthur's Town,24.63361111,-74.33416667
ATD,SB,Atoifi,,
ATE,US,Antlers,,
ATF,EC,Ambato,-0.788055556,-77.42527778
ATG,PK,Attock,,
ATH,GR,Athens,37.936389,23.947222
ATI,UY,Artigas,-29.60083333,-55.48916667
ATJ,MG,Antsirabe,-18.16527778,47.06694444
ATK,US,Atqasuk,70.46722222,-156.5644444
ATL,US,Atlanta,33.641658,-84.446517
ATM,BR,Altamira,-2.749166667,-51.74777778
ATN,PG,Namatanai,,
ATO,US,Athens,,
ATP,PG,Aitape,,
ATQ,IN,Amritsar,31.70444444,74.80194444
ATR,MR,Atar,20.50083333,-12.95361111
ATS,US,Artesia,32.8525,-103.5325
ATT,US,Atmautluak,,
ATU,US,Attu Island,52.8325,173.1755556
ATV,TD,Ati,13.23333333,18.31666667
ATW,US,Appleton,44.25805556,-87.48111111
ATX,KZ,Atbasar,,
ATY,US,Watertown,44.91388889,-96.84527778
ATZ,EG,Assiut,27.04638889,31.01194444
AUA,AW,Aruba,12.50111111,-69.985
AUB,BR,Itauba,,
AUC,CO,Arauca,7.068888889,-69.26305556
AUD,AU,Augustus Downs,,
AUE,EG,Abu Rudeis,,
AUG,US,Augusta,44.32055556,-68.20277778
AUH,AE,Abu Dhabi,24.432972,54.651139
AUI,PG,Aua Island,,
AUJ,PG,Ambunti,,
AUK,US,Alakanuk,,
AUL,MH,Aur Island,,
AUM,US,Austin,43.6625,-91.06722222
AUN,US,Auburn,,
AUO,US,Auburn,32.615,-84.56611111
AUP,PG,Agaun,,
AUQ,PF,Atuona,,
AUR,FR,Aurillac,44.8975,2.416666667
AUS,US,"Austin, TX",30.202622,-97.667615
AUT,ID,Atauro,,
AUU,AU,Aurukun Mission,-12.64611111,141.7208333
AUW,US,Wausau,44.92611111,-88.37305556
AUX,BR,Araguaina,-6.771666667,-47.75916667
AUY,VU,Aneityum,,
AUZ,US,Aurora,,
AVB,IT,Aviano,46.03,12.59861111
AVF,FR,Avoriaz,,
AVG,AU,Auvergne,,
AVI,CU,Ciego De Avila,22.02694444,-77.21055556
AVK,MN,Arvaikheer,46.25027778,102.8025
AVL,US,Asheville,35.43611111,-81.45833333
AVN,FR,Avignon,43.90638889,4.901944444
AVO,US,Avon Park,27.59111111,-80.47111111
AVP,US,Wilkes-Barre,41.408969,75.6624122
AVU,SB,Avu Avu,,
AVV,AU,Avalon,-37.96083333,144.4694444
AVX,US,Catalina Island,,
AWA,ET,Awassa,,
AWB,PG,Awaba,,
AWD,VU,Aniwa,,
AWE,GA,Alowe,,
AWH,ET,Awareh,,
AWK,UM,Wake Island,19.28222222,166.6363889
AWM,US,West Memphis,35.135,-89.76555556
AWN,AU,Alton Downs,,
AWP,AU,Austral Downs,,
AWR,PG,Awar,,
AWZ,IR,Ahwaz,31.3375,48.76027778
