origin,des,httpcode
AAL,AAL,404
AAL,AAR,404
AAL,ABZ,404
AAL,ACE,404
AAL,AES,404
AAL,AGH,404
AAL,AGP,404
AAL,AHO,404
AAL,AJA,404
AAL,ALF,404
AAL,AMS,404
AAL,AOI,404
AAL,ARN,404
AAL,ATH,404
AAL,AXD,404
AAL,BCN,404
AAL,BDS,404
AAL,BGO,404
AAL,BGY,404
AAL,BHD,404
AAL,BHX,404
AAL,BIA,404
AAL,BIO,404
AAL,BIQ,404
AAL,BLL,404
AAL,BLQ,404
AAL,BOD,404
AAL,BOJ,404
AAL,BOO,404
AAL,BRE,404
AAL,BRI,404
AAL,BRN,404
AAL,BRS,404
AAL,BRU,404
AAL,BSL,404
AAL,BUD,404
AAL,BZG,404
AAL,CAG,404
AAL,CDG,404
AAL,CFU,404
AAL,CGN,404
AAL,CHQ,404
AAL,CLJ,404
AAL,CLY,404
AAL,CND,404
AAL,CPH,200
AAL,CTA,404
AAL,CWL,404
AAL,DBV,404
AAL,DRS,404
AAL,DTM,404
AAL,DUB,404
AAL,DUS,404
AAL,EBJ,404
AAL,EDI,404
AAL,EFL,404
AAL,EMA,404
AAL,EVE,404
AAL,FAO,404
AAL,FCO,404
AAL,FDH,404
AAL,FKB,404
AAL,FLR,404
AAL,FMM,404
AAL,FMO,404
AAL,FNC,404
AAL,FRA,404
AAL,FSC,404
AAL,FUE,404
AAL,GDN,404
AAL,GLA,404
AAL,GOA,404
AAL,GOT,404
AAL,GRZ,404
AAL,GVA,404
AAL,GWT,404
AAL,HAJ,404
AAL,HAM,404
AAL,HAU,404
AAL,HDB,404
AAL,HDF,404
AAL,HEL,404
AAL,HER,404
AAL,HOV,404
AAL,IAS,404
AAL,IBZ,404
AAL,INN,404
AAL,IOA,404
AAL,JER,404
AAL,JKG,404
AAL,JKH,404
AAL,JMK,404
AAL,JSI,404
AAL,JTR,404
AAL,KGS,404
AAL,KKN,404
AAL,KLR,404
AAL,KLU,404
AAL,KLX,404
AAL,KRK,404
AAL,KRN,404
AAL,KRS,404
AAL,KSC,404
AAL,KSD,404
AAL,KSU,404
AAL,KTT,404
AAL,KTW,404
AAL,KUO,404
AAL,KVA,404
AAL,LCA,404
AAL,LCJ,404
AAL,LCY,404
AAL,LDE,404
AAL,LEJ,404
AAL,LGG,404
AAL,LHR,404
AAL,LIN,404
AAL,LIS,404
AAL,LJU,404
AAL,LLA,404
AAL,LMP,404
AAL,LNZ,404
AAL,LPA,404
AAL,LPI,404
AAL,LUG,404
AAL,LUX,404
AAL,LUZ,404
AAL,LYR,404
AAL,LYS,404
AAL,MAD,404
AAL,MAH,404
AAL,MAN,404
AAL,MJT,404
AAL,MLA,404
AAL,MLH,404
AAL,MMX,404
AAL,MOL,404
AAL,MPL,404
AAL,MRS,404
AAL,MUC,404
AAL,MXP,404
AAL,NAP,404
AAL,NCE,404
AAL,NCL,404
AAL,NOC,404
AAL,NQY,404
AAL,NUE,404
AAL,OLB,404
AAL,OPO,404
AAL,OSD,404
AAL,OSL,404
AAL,OTP,404
AAL,OUL,404
AAL,PAD,404
AAL,PEG,404
AAL,PMI,404
AAL,PMO,404
AAL,PNL,404
AAL,POZ,404
AAL,PRG,404
AAL,PSA,404
AAL,PUY,404
AAL,QDU,404
AAL,REG,404
AAL,RHO,404
AAL,RIX,404
AAL,RJK,404
AAL,RLG,404
AAL,RNB,404
AAL,RTM,404
AAL,RZE,404
AAL,SBZ,404
AAL,SCN,404
AAL,SCQ,404
AAL,SDL,404
AAL,SFT,404
AAL,SKG,404
AAL,SMI,404
AAL,SNN,404
AAL,SOF,404
AAL,SPC,404
AAL,SPU,404
AAL,STN,404
AAL,STR,404
AAL,SUF,404
AAL,SVG,404
AAL,SVQ,404
AAL,SXB,404
AAL,SXF,404
AAL,SZG,404
AAL,SZZ,404
AAL,TFS,404
AAL,TKU,404
AAL,TLL,404
AAL,TLS,404
AAL,TMP,404
AAL,TOS,404
AAL,TRD,404
AAL,TRN,404
AAL,TRS,404
AAL,TSR,404
AAL,TXL,404
AAL,UME,404
AAL,VAA,404
AAL,VAR,404
AAL,VCE,404
AAL,VGO,404
AAL,VIE,404
AAL,VLC,404
AAL,VNO,404
AAL,VOL,404
AAL,VRN,404
AAL,WAW,404
AAL,WRO,404
AAL,XER,404
AAL,XRY,404
AAL,ZAD,404
AAL,ZAG,404
AAL,ZRH,404
AAL,ZTH,404
AAR,AAL,404
AAR,AAR,404
AAR,ABZ,404
AAR,ACE,404
AAR,AES,404
AAR,AGH,404
AAR,AGP,404
AAR,AHO,404
AAR,AJA,404
AAR,ALF,404
AAR,AMS,404
AAR,AOI,404
AAR,ARN,404
AAR,ATH,404
AAR,AXD,404
AAR,BCN,404
AAR,BDS,404
AAR,BGO,404
AAR,BGY,404
AAR,BHD,404
AAR,BHX,404
AAR,BIA,404
AAR,BIO,404
AAR,BIQ,404
AAR,BLL,404
AAR,BLQ,404
AAR,BOD,404
AAR,BOJ,404
AAR,BOO,404
AAR,BRE,404
AAR,BRI,404
AAR,BRN,404
AAR,BRS,404
AAR,BRU,404
AAR,BSL,404
AAR,BUD,404
AAR,BZG,404
AAR,CAG,404
AAR,CDG,404
AAR,CFU,404
AAR,CGN,404
AAR,CHQ,404
AAR,CLJ,404
AAR,CLY,404
AAR,CND,404
AAR,CPH,200
AAR,CTA,404
AAR,CWL,404
AAR,DBV,404
AAR,DRS,404
AAR,DTM,404
AAR,DUB,404
AAR,DUS,404
AAR,EBJ,404
AAR,EDI,404
AAR,EFL,404
AAR,EMA,404
AAR,EVE,404
AAR,FAO,404
AAR,FCO,404
AAR,FDH,404
AAR,FKB,404
AAR,FLR,404
AAR,FMM,404
AAR,FMO,404
AAR,FNC,404
AAR,FRA,404
AAR,FSC,404
AAR,FUE,404
AAR,GDN,404
AAR,GLA,404
AAR,GOA,404
AAR,GOT,404
AAR,GRZ,404
AAR,GVA,404
AAR,GWT,404
AAR,HAJ,404
AAR,HAM,404
AAR,HAU,404
AAR,HDB,404
AAR,HDF,404
AAR,HEL,404
AAR,HER,404
AAR,HOV,404
AAR,IAS,404
AAR,IBZ,404
